cabinet,type,name type,scientific name,common name,number,taxonomic classification,taxonomic classifivation
1.01,i,scientific,odocoileus virginianus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Cervidae', 'Capreolinae', 'Odocoileus', 'Odocoileus virginianus', 'Odocoileus virginianus acapulcensis', 'Odocoileus virginianus borealis', 'Odocoileus virginianus cariacou', 'Odocoileus virginianus carminis', 'Odocoileus virginianus chiriquensis', 'Odocoileus virginianus clavium', 'Odocoileus virginianus couesi', 'Odocoileus virginianus curassavicus', 'Odocoileus virginianus dacotensis', 'Odocoileus virginianus goudotii', 'Odocoileus virginianus gymnotis', 'Odocoileus virginianus hiltonensis', 'Odocoileus virginianus leucurus', 'Odocoileus virginianus macrourus', 'Odocoileus virginianus margaritae', 'Odocoileus virginianus mcilhennyi', 'Odocoileus virginianus mexicanus', 'Odocoileus virginianus miquihuanensis', 'Odocoileus virginianus nelsoni', 'Odocoileus virginianus nemoralis', 'Odocoileus virginianus nigribarbis', 'Odocoileus virginianus oaxacensis', 'Odocoileus virginianus ochrourus', 'Odocoileus virginianus osceola', 'Odocoileus virginianus peruvianus', 'Odocoileus virginianus rothschildi', 'Odocoileus virginianus seminolus', 'Odocoileus virginianus sinaloae', 'Odocoileus virginianus taurinsulae', 'Odocoileus virginianus texanus', 'Odocoileus virginianus thomasi', 'Odocoileus virginianus toltecus', 'Odocoileus virginianus tropicalis', 'Odocoileus virginianus ustus', 'Odocoileus virginianus venatorius', 'Odocoileus virginianus veraecrucis', 'Odocoileus virginianus virginianus', 'Odocoileus virginianus yucatanensis']"
1.02,a,common,cervus canadensis,elk,,,FIX
1.03,a,common,rangifer tarandas,reindeer,3.0,,FIX
1.03,i,common,megaloceros giganteus,irish elk,,,FIX
1.03,a,common,megaloceros giganteus,irish elk,,,FIX
1.03,i,scientific,alces alces,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Cervidae', 'Capreolinae', 'Alces', 'Alces alces', 'Alces alces alces', 'Alces alces caucasicus']"
1.03,i,scientific,rangifer tarandus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Cervidae', 'Capreolinae', 'Rangifer', 'Rangifer tarandus', 'Rangifer tarandus buskensis', 'Rangifer tarandus caboti', 'Rangifer tarandus caribou', 'Rangifer tarandus dawsoni', 'Rangifer tarandus fennicus', 'Rangifer tarandus groenlandicus', 'Rangifer tarandus osborni', 'Rangifer tarandus pearsoni', 'Rangifer tarandus pearyi', 'Rangifer tarandus phylarchus', 'Rangifer tarandus platyrhynchus', 'Rangifer tarandus sibiricus', 'Rangifer tarandus tarandus', 'Rangifer tarandus terraenovae']"
1.03,i,scientific,dama dama,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Cervidae', 'Cervinae', 'Dama', 'Dama dama', 'Dama dama dama', 'Dama dama mesopotamica']"
1.04,i,common,giraffa camelopardalis reticulata,reticulated giraffe,,,FIX
1.04,a,scientific,alcelaphus buselaphus,,,,"['Animalia', 'Bilateria', 'Deuterostomia', 'Chordata', 'Vertebrata', 'Gnathostomata', 'Tetrapoda', 'Mammalia', 'Theria', 'Eutheria', 'Artiodactyla', 'Bovidae', 'Alcelaphinae', 'Alcelaphus', 'Alcelaphus buselaphus', 'Alcelaphus buselaphus buselaphus', 'Alcelaphus buselaphus cokii', 'Alcelaphus buselaphus lelwel', 'Alcelaphus buselaphus major', 'Alcelaphus buselaphus swaynei', 'Alcelaphus buselaphus tora']"
