cabinet,type,name type,scientific name,common name,number,taxonomic classification
1.01,i,scientific,odocoileus virginianus,,,
1.02,a,common,cervus canadensis,elk,,
1.03,a,common,rangifer tarandas,reindeer,3,
1.03,i,common,megaloceros giganteus,irish elk,,
1.03,a,common,megaloceros giganteus,irish elk,,
1.03,i,scientific,alces alces,,,
1.03,i,scientific,rangifer tarandus,,,
1.03,i,scientific,dama dama,,,
1.04,i,common,giraffa camelopardalis reticulata,reticulated giraffe,,
1.04,a,scientific,alcelaphus buselaphus,,,
1.04,a,scientific,giraffa camelopardalis,,,
1.05,a,scientific,equus caballus,,,
1.05,a,scientific,mesohippus,,,
1.05,a,common,equus,horse,,
1.06,i,common,bison bison,plains bison,,
1.06,a,scientific,syncerus caffer,,,
1.07,a,scientific,capra hircus,,,
1.07,a,scientific,alcelaphus buselaphus,,,
1.07,i,scientific,bubalus bubalis,,,
1.08,i,scientific,oreamnos americanus,,,
1.08,a,scientific,oreamnos americanus,,,
1.08,a,common,capra aegagrus hircus,goat,,
1.08,a,scientific,capra ibex,,,
1.08,a,scientific,ovis aries,,,
1.09,a,scientific,odobenus rosmarus,,,
1.09,a,scientific,didelphis virginiana,,,
1.09,a,scientific,hydrurga leptonyx,,,
1.09,a,common,erethizon dorsatum,north american porcupine,,
1.09,a,scientific,loxodonta africana,,,
1.09,i,scientific,ovibos moschatus,,,
1.10,i,common,bison bison,plains bison,,
1.11,i,scientific,oreamnos americanus,,,
1.12,i,scientific,oryx dammah,,,
1.13,a,scientific,mirounga leonina,,,
1.13,a,common,rhea,ostrich,,
1.13,a,common,,turtle,,
1.13,a,scientific,phocoena phocoena,,,
1.13,i,scientific,ovis dalli dalli,,,
1.14,i,scientific,ovis dalli stonei,,,
1.14,a,scientific,ornithorhynchus anatinus,,,
1.14,a,common,crotalus,rattlesnake,,
1.14,a,common,,bird,,
1.14,a,common,pholidota manidae,pangolin,,
1.14,a,scientific,phacochoerus aethiopicus,,,
1.14,a,scientific,erinaceus,,,
1.15,a,scientific,ovis canadensis,,4,
1.16,i,scientific,ovis canadensis,,,
1.16,a,scientific,ovis canadensis,,,
1.16,a,scientific,antilocapra americana,,,
1.16,a,scientific,antilocapra americana,,,
1.16,a,scientific,ovis dalli,,,
1.17,a,scientific,ovis dalli stonei,,4,
1.18,i,scientific,eubalaena glacialis,,,
1.18,a,scientific,ourebia ourebi,oribi,,
1.18,a,scientific,ziphius cavirostris,,,
1.19,a,scientific,hippopotamus amphibius,cuvier's beaked whale,,
1.19,a,common,mesopladon carlshubbi,beaked whale,,
1.19,i,common,mesopladon carlshubbi,beaked whale,,
1.20,i,scientific,phocoenoides dallie,dall's porpoise,,
1.21,i,scientific,orcinus orca,,,
2.01-2.03,a,common,,common cuckoo,,
2.01-2.03,a,common,,chestnut-sided warbler,,
2.01-2.03,a,common,,bobolink,,
2.01-2.03,a,common,,pine grosbeak,,
2.01-2.03,a,common,,ruby-throated hummingbird,,
2.01-2.03,a,common,,goldfinch,,
2.01-2.03,a,common,,magnolia warbler,,
2.01-2.03,a,common,,ruby-throated hummingbird,,
2.01-2.03,a,common,,baltimore oriole,,
2.01-2.03,a,common,,heron,,
2.01-2.03,a,common,,snow bunting,,
2.01-2.03,a,common,,northern bobwhite,,
2.01-2.03,a,common,,yellow-headed blackbird,,
2.01-2.03,a,common,,crow,,
2.01-2.03,a,common,,blackburnian warbler,,
2.01-2.03,a,common,,black-throated green warbler,,
2.01-2.03,a,common,,ruby-throated hummingbird,,
2.01-2.03,a,common,,scarlet tanager,,
2.01-2.03,a,common,,rose-breasted grosbeak,,
2.01-2.03,a,common,,yellow warbler,,
2.01-2.03,a,common,,cedar waxwing,,
2.01-2.03,a,common,,chestnut-sided warbler,,
2.01-2.03,a,common,,american redstart,,
2.01-2.03,a,common,,ruby-throated hummingbird,,
2.01-2.03,a,common,,baltimore oriole,,
2.01-2.03,a,common,,magnolia warbler,,
2.01-2.03,a,common,,bobolink,,
2.01-2.03,a,common,,pine grosbeak,,
2.01-2.03,a,common,,red-breasted merganser,,
2.01-2.03,a,common,,greater yellowlegs,,
2.01-2.03,a,common,,sora,,
2.01-2.03,a,common,,wilson's snipe,,
2.01-2.03,a,common,,red-breasted merganser,,
2.01-2.03,a,common,,american robin,,
2.01-2.03,a,scientific,tapirus,tapir,,
2.01-2.03,a,common,,burmese python,,
2.01-2.03,a,common,,loggerhead sea turtle,,
2.01-2.03,a,common,,green sea turtle,,
2.01-2.03,a,common,,clam,,
2.01-2.03,a,common,,periwinkle,,
2.01-2.03,a,common,,periwinkle,,
2.01-2.03,a,common,,shore crab,,
2.01-2.03,a,common,,cross-barred venus,,
2.01-2.03,a,common,,mule deer,,
2.01-2.03,a,common,,eurasian sparrowhawk,,
2.01-2.03,a,common,,finch,,
2.01-2.03,a,common,,northern bobwhite,,
2.01-2.03,a,common,,white-headed duck,,
2.01-2.03,a,common,,ferruginous duck,,
2.01-2.03,a,common,,eastern meadowlark,,
2.01-2.03,a,common,,passenger pigeon,,
2.01-2.03,a,common,,scarlet tanager,,
2.01-2.03,a,common,,cedar waxwing,,
2.01-2.03,a,common,,snow bunting,,
2.01-2.03,a,common,,purple finch,,
2.01-2.03,a,common,,indigo bunting,,
2.01-2.03,a,common,,horned lark,,
2.01-2.03,a,common,,baltimore oriole,,
2.01-2.03,a,common,,baltimore oriole,,
2.01-2.03,a,common,,loggerhead shrike,,
2.01-2.03,a,common,,brown-headed cowbird,,
2.01-2.03,a,common,,common grackle,,
2.01-2.03,a,common,,greater sage-grouse,,
2.01-2.03,a,common,,greater sage-grouse,,
2.01-2.03,a,common,,grey squirrel,,
2.01-2.03,a,common,,snow bunting,,
2.01-2.03,a,common,,snow bunting,,
2.01-2.03,a,common,,grey junglefowl,,
2.01-2.03,a,common,,northern bobwhite,,
2.01-2.03,a,common,,ruffed grouse,,
2.01-2.03,a,common,,mule deer,,
2.01-2.03,a,common,,eurasian wryneck,,
2.01-2.03,a,common,,collared pratincole,,
2.01-2.03,a,common,,yellow warbler,,
2.01-2.03,a,common,,scarlet tanager,,
2.01-2.03,a,common,,ruby-throated hummingbird,,
2.01-2.03,a,common,,ring-necked pheasant,,
2.01-2.03,a,common,,eastern bluebird,,
2.01-2.03,a,common,,snow bunting,,
2.01-2.03,a,common,,snow bunting,,
2.01-2.03,a,common,,red-winged blackbird,,
2.01-2.03,a,common,,eastern meadowlark,,
2.01-2.03,a,common,,american redstart,,
2.01-2.03,a,common,,yellow-rumped warbler,,
2.01-2.03,a,common,,ruby-throated hummingbird,,
2.01-2.03,a,common,,rusty blackbird,,
2.01-2.03,a,common,,baltimore oriole,,
2.01-2.03,a,common,,ruby-throated hummingbird,,
2.01-2.03,a,common,,rusty blackbird,,
